date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:10,2009104921,メッシ,1,8,10,牡,2,492.0,加藤和博,30815,堀江仁,11341,1:14.9,-,39.1,3-3,2.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:2,2009109019,サブノムサシ,2,2,2,牡,2,481.0,坂井英光,30844,鷹見浩,11315,1:15.4,２ 1/2,39.2,5-5,4.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:8,2009103865,スズランステージ,3,7,8,牡,2,459.0,戸崎圭太,30943,嶋田幸晴,11300,1:15.6,１,40.3,1-1,3.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:5,2009101520,チビチビ,4,5,5,牡,2,440.0,今野忠成,30833,阪本一栄,10940,1:15.7,1/2,38.4,10-10,8.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:3,2009105413,ハニーハート,5,3,3,牝,2,425.0,真島大輔,31053,小久保智,11296,1:15.7,アタマ,39.5,5-6,9.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:6,2009101518,パールドリフト,6,6,6,牝,2,460.0,柏木健宏,31022,堀千亜樹,11289,1:16.0,１ 1/2,39.3,8-7,10.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:7,2009101928,ユイフェリーチェ,7,7,7,牝,2,457.0,山田信大,30721,澤佳宏,11304,1:16.2,１,39.5,9-9,1.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:1,2009200008,コンドルシーズ,8,1,1,牝,2,465.0,達城龍次,30878,久保與造,10192,1:16.3,1/2,40.3,4-4,7.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:4,2009104500,クリアピース,9,4,4,牡,2,437.0,酒井忍,30706,朝倉実,11202,1:16.7,２,40.4,7-7,5.0
2011-09-29,2011092920120501,大井,1200,晴,良,特選 ２歳,2011092920120501:9,2009102371,ナリショーリサ,10,8,9,牝,2,461.0,的場文男,30133,岡野尚光,11351,1:17.3,３,41.8,2-2,6.0
