date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:6,2014101471,プリモ,1,5,6,牝,3,396.0,山崎誠士,31113,山田質,11388,1:31.9,-,39.5,6-4-3-3,2.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:2,2014101441,ドンレッドローズ,2,2,2,牝,3,425.0,實川純一,31110,矢内博,11340,1:32.1,１,40.1,1-1-1-1,3.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:11,2014100869,フィーア,3,8,11,牝,3,468.0,石崎駿,31050,佐藤賢二,10985,1:32.1,アタマ,39.6,9-9-5-4,7.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:4,2014103683,キョウエイダイチ,4,4,4,セ,3,450.0,増田充宏,31089,山崎尋美,11107,1:32.2,クビ,39.5,7-7-8-5,11.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:9,2014101670,エメラルムサシ,5,7,9,牡,3,444.0,野澤憲彦,30800,佐々木清明,11174,1:32.4,１,39.9,5-5-7-6,1.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:7,2014101233,フラダリ,6,6,7,牝,3,448.0,☆保園翔也,31260,小久保智,11296,1:32.6,１,40.5,2-2-2-2,5.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:12,2014103960,ネコザル,7,8,12,牝,3,432.0,見越彬央,31229,酒井一則,11228,1:33.3,４,40.0,10-10-10-7,8.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:8,2014101412,スカイランスリー,8,6,8,牝,3,440.0,高橋哲也,30973,横山保,10166,1:33.6,１ 1/2,41.3,3-3-6-9,4.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:3,2014104884,ネコリス,9,3,3,牝,3,460.0,橋本直哉,30974,長谷川忍,11408,1:33.6,クビ,40.7,8-8-9-10,9.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:10,2014100806,パイ,10,7,10,牝,3,404.0,和田譲治,31074,藤原智行,11409,1:33.9,１ 1/2,41.5,4-6-4-8,10.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:1,2014101236,ミラノサローネ,11,1,1,牡,3,470.0,繁田健一,30958,林正人,11022,1:34.1,3/4,40.8,12-11-11-11,6.0
2017-03-29,2017032918120301,浦和,1400,晴,稍重,３歳(四),2017032918120301:5,2014104584,シェナノホシ,12,5,5,牡,3,497.0,秋元耕成,30982,冨田敏男,11376,1:39.8,大差,45.5,11-12-12-12,12.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:9,2013103316,バイツァダスト,1,8,9,牝,4,444.0,寺島憂人,31228,小林真治,11233,1:33.3,-,41.9,1-1-1-1,2.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:5,2013106410,トサノナデシコ,2,5,5,牝,4,420.0,瀧川寿希也,31232,宇野木数徳,10128,1:33.3,クビ,41.7,2-2-2-2,4.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:6,2013101856,ゴッドフュージョン,3,6,6,牡,4,507.0,町田直希,31140,長谷川忍,11408,1:33.5,3/4,40.7,7-8-5-5,1.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:1,2013101149,フェスティヴファー,4,1,1,牝,4,404.0,加藤和博,30815,川島豊,11324,1:33.8,１ 1/2,40.5,9-9-8-7,7.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:3,2013102494,トッキーロマンス,5,3,3,牡,4,466.0,山崎真,31146,小林真治,11233,1:34.3,２ 1/2,42.2,3-3-4-4,5.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:8,2013102600,ハビトゥス,6,8,8,牝,4,451.0,楢崎功祐,30997,酒井一則,11228,1:34.3,ハナ,41.8,4-5-6-8,6.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:7,2013102870,アオアクア,7,7,7,牝,4,449.0,高橋哲也,30973,川島豊,11324,1:34.5,１,41.8,6-6-7-6,3.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:4,2013104769,デニール,8,4,4,牝,4,411.0,藤江渉,30990,柘榴浩樹,11270,1:34.6,クビ,42.6,5-4-3-3,9.0
2017-03-29,2017032918120302,浦和,1400,晴,稍重,Ｃ３４歳ウ,2017032918120302:2,2013101324,マロンスター,9,2,2,牝,4,437.0,秋元耕成,30982,横山保,10166,1:35.2,３,42.1,8-7-9-9,8.0
