date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:8,2014104362,サンシール,1,7,8,牡,2,460.0,江川伸幸,31035,山下貴之,11425,1:15.7,-,38.9,2-2-2,1.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:6,2014101691,ブライトサーベル,2,6,6,牡,2,473.0,張田昂,31235,張田京,11424,1:17.9,大差,41.2,1-1-1,5.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:7,2014101299,ベントゥーラ,3,7,7,牝,2,385.0,實川純一,31110,佐藤厚弘,11298,1:18.1,１,39.3,7-6-6,7.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:1,2014106500,スズエンブレム,4,1,1,牡,2,475.0,中野省吾,31188,渋谷信博,11288,1:19.1,５,40.1,9-7-7,6.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:3,2014102831,グランシャール,5,3,3,牝,2,406.0,山本聡紀,31220,渋谷信博,11288,1:19.9,４,40.0,8-9-9,9.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:9,2014106267,ナガタウルフ,6,8,9,牡,2,456.0,藤江渉,30990,柿本政男,11221,1:20.0,3/4,42.9,3-3-3,4.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:5,2014104707,ヤワタチャレンジ,7,5,5,牡,2,483.0,田中力,31009,松代眞,10920,1:20.6,３,41.2,6-8-8,3.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:10,2014100917,ブレイヴロマンス,8,8,10,牡,2,468.0,△臼井健太郎,31251,松代眞,10920,1:20.7,クビ,43.1,5-5-5,2.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:2,2014101576,アナタハビジン,9,2,2,牝,2,453.0,林幻,31070,玉井勝,11137,1:21.1,２,39.8,10-10-10,10.0
2016-09-29,2016092919070401,船橋,1200,曇,重,２歳(六),2016092919070401:4,2014106497,キタノゴールド,10,4,4,牝,2,447.0,本橋孝太,31155,石井勝男,11313,1:21.3,１ 1/2,44.0,4-4-4,8.0
