date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:8,2018102003,テキサスブロンコ,1,6,8,牡,3,472.0,森泰斗,30942,佐藤裕太,11412,1:15.5,-,39.0,3-3-3,2.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:7,2018106356,スカイカンナ,2,6,7,牝,3,450.0,笹川翼,31231,山中尊徳,11335,1:15.8,１ 1/2,39.4,2-2-2,4.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:4,2018103032,リアドライブ,3,4,4,牡,3,508.0,本田正重,31147,新井清重,11272,1:16.2,２,39.9,1-1-1,1.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:3,2018100371,カスアリダー,4,3,3,牝,3,429.0,笠野雄大,31169,渡邊貴光,11377,1:17.0,４,39.7,8-7-6,12.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:12,2018106586,サンライズテソロ,5,8,12,牡,3,451.0,★中島良美,31290,川島豊,11324,1:17.1,クビ,39.6,11-9-7,7.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:2,2018106127,エメラルスマイル,6,2,2,牝,3,436.0,野澤憲彦,30800,佐々木清明,11174,1:17.2,1/2,40.5,4-4-4,6.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:11,2018103076,ディスバッドマム,7,8,11,牝,3,457.0,藤本現暉,31253,渡邊貴光,11377,1:17.4,１,39.3,10-10-10,3.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:9,2018100196,ホットミルク,8,7,9,牝,3,384.0,橋本直哉,30974,工藤伸輔,11312,1:18.4,５,40.0,12-12-11,11.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:6,2018100335,テッサリア,9,5,6,牝,3,455.0,張田昂,31235,林幻,11459,1:18.5,3/4,41.6,5-5-5,5.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:10,2018109109,サソリザ,10,7,10,牝,3,434.0,臼井健太郎,31251,佐々木清明,11174,1:19.3,４,42.1,6-6-8,9.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:1,2018105421,ガンマレイバースト,11,1,1,牡,3,581.0,福原杏,31281,山越光,11051,1:19.5,１,42.0,7-8-9,8.0
2021-09-29,2021092919070301,船橋,1200,曇,良,３歳(六)(七),2021092919070301:5,2018101357,ビービーマローネ,12,5,5,牝,3,529.0,山口達弥,31120,宮下靖旨,11200,1:20.6,５,42.3,9-11-12,10.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:12,2018106370,タケショウワンダー,1,8,12,牡,3,509.0,山崎誠士,31113,山本学,11303,1:37.4,-,39.8,3-3-3-2,2.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:5,2018103047,アミスタ,2,5,5,牝,3,469.0,森泰斗,30942,齊藤敏,11055,1:37.7,１ 1/2,39.4,11-11-10-9,3.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:10,2018110081,モズハッピーロード,3,7,10,牡,3,487.0,半澤慶実,31109,平山真希,11375,1:38.0,１ 1/2,40.2,7-6-5-4,5.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:11,2018103275,ハクサンクラーケン,4,8,11,牡,3,469.0,川島正太郎,31178,矢野義幸,11222,1:38.1,3/4,40.6,2-2-2-1,1.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:9,2018106748,ミスターエイジュン,5,7,9,牡,3,464.0,藤江渉,30990,伊藤滋規,11374,1:38.6,２ 1/2,40.9,4-4-4-3,8.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:2,2018105588,キングフリオーソ,6,2,2,牡,3,527.0,臼井健太郎,31251,佐々木功,10073,1:39.0,２,40.8,8-8-9-10,6.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:7,2018102554,クリスタルハート,7,6,7,牝,3,511.0,和田譲治,31074,林幻,11459,1:39.7,３,41.6,6-7-7-6,7.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:4,2018101800,プレストウイング,8,4,4,牡,3,471.0,實川純一,31110,玉井勝,11137,1:40.5,４,42.4,9-9-8-7,9.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:1,2018106644,エミーレイ,9,1,1,牝,3,442.0,岡村健司,31261,山中尊徳,11335,1:40.9,２,42.2,10-10-12-12,10.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:8,2018106006,グランエース,10,6,8,牡,3,426.0,橋本直哉,30974,鈴木勝文,10147,1:41.0,クビ,42.3,12-12-11-11,12.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:3,2018104549,マリブスターソング,11,3,3,牝,3,447.0,矢野貴之,31068,渡邊貴光,11377,1:41.3,１ 1/2,43.5,5-5-6-8,4.0
2021-09-29,2021092919070302,船橋,1500,曇,良,３歳(六)(七),2021092919070302:6,2018100910,スターオブソフィア,12,5,6,牝,3,417.0,福原杏,31281,横山保,10166,1:41.6,１ 1/2,44.1,1-1-1-5,11.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:8,2018110154,ローズファラオ,1,7,8,牝,3,412.0,張田昂,31235,山下貴之,11425,1:14.0,-,37.8,1-1-1,1.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:9,2018102617,シャッタアックロイ,2,8,9,セ,3,478.0,澤田龍哉,31179,坂本昇,11079,1:16.3,大差,38.6,4-3-3,2.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:5,2018103989,ハルバルキタゼ,3,5,5,セ,3,440.0,矢野貴之,31068,稲益貴弘,11401,1:16.9,３,38.7,8-6-7,3.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:4,2018101835,シナノジャングル,4,4,4,牡,3,474.0,保園翔也,31260,岡田一男,10130,1:16.9,クビ,39.2,3-4-5,8.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:3,2018100137,マイトバイオ,5,3,3,牝,3,475.0,岡村健司,31261,新井清重,11272,1:17.2,１ 1/2,38.7,10-8-8,5.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:10,2018101824,エムワンブラッサム,6,8,10,牝,3,426.0,内田利雄,30145,佐々木功,10073,1:17.4,１ 1/2,39.5,5-5-4,9.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:7,2018101918,ハイランドハニー,7,7,7,牝,3,419.0,藤江渉,30990,田島寿一,11257,1:17.6,１,39.4,7-7-6,4.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:2,2018106842,プレストハンター,8,2,2,牡,3,405.0,川島正太郎,31178,佐々木清明,11174,1:17.9,１ 1/2,39.1,9-9-9,6.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:1,2018106819,グレイスディーヴァ,9,1,1,牝,3,493.0,▲木間塚龍馬,31306,渋谷信博,11288,1:18.0,クビ,40.8,2-2-2,7.0
2021-09-29,2021092919070303,船橋,1200,曇,良,３歳(二)(三),2021092919070303:6,2018104457,グレースシラオキ,10,6,6,牝,3,415.0,橋本直哉,30974,岡田一男,10130,1:18.2,3/4,39.4,6-10-10,10.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:7,2018105743,トーアアネラ,1,7,7,牝,3,457.0,☆篠谷葵,31294,齊藤敏,11055,1:36.4,-,38.4,2-2-2-2,4.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:3,2018110061,キトゥンズルンバ,2,3,3,セ,3,462.0,笠野雄大,31169,出川克己,11021,1:36.7,１ 1/2,38.7,3-3-3-3,5.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:6,2018102473,オープンワールド,3,6,6,牡,3,500.0,張田昂,31235,張田京,11424,1:37.6,４,39.9,1-1-1-1,2.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:1,2018101405,ゴースフロイデ,4,1,1,牡,3,498.0,和田譲治,31074,林幻,11459,1:38.4,４,40.0,5-4-5-4,1.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:5,2018100151,ニシノレガシー,5,5,5,牡,3,526.0,山中悠希,31219,佐々木清明,11174,1:38.7,１ 1/2,40.4,4-5-4-5,6.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:4,2018104311,ガレア,6,4,4,牡,3,469.0,町田直希,31140,佐々木功,10073,1:38.9,3/4,39.9,9-8-7-6,3.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:10,2018104718,ドリーミーサマー,7,8,10,牡,3,507.0,本橋孝太,31155,出川克己,11021,1:39.5,３,40.5,7-7-6-9,9.0
2021-09-29,2021092919070304,船橋,1500,曇,良,３歳(二)(三),2021092919070304:9,2018105782,シュヴノアール,8,8,9,牝,3,470.0,田中力,31009,岡林光浩,10053,1:39.5,クビ,40.2,10-10-9-10,8.0
