date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:3,2003103298,ニイタカライズ,1,3,3,牡,6,482.0,岩城方元,30177,稲垣純緒,10301,1:31.5,-,39.1,3-3-4-3,4.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:7,2002103515,ロミオタイショウ,2,7,7,牡,7,478.0,町田直希,31140,山田正実,10362,1:31.5,アタマ,39.4,1-1-1-1,1.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:8,2002100278,サーペントラ,3,8,8,牡,7,496.0,戸崎圭太,30943,安池成実,11102,1:31.6,1/2,39.4,2-2-2-2,2.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:6,2002102545,オートボンバー,4,6,6,牡,7,461.0,金子正彦,30180,鳥飼春弥,10340,1:32.9,６,40.5,5-5-3-4,3.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:5,2004100900,アポロシークレット,5,5,5,牝,5,462.0,△本田紀忠,31172,佐々木吉郷,10320,1:32.9,ハナ,39.9,4-4-6-5,7.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:2,2004102591,ビートラッセル,6,2,2,牡,5,455.0,坂井英光,30844,三橋三吉,10355,1:33.2,１ 1/2,40.0,8-8-7-6,6.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:1,2003200012,スターカーニバル,7,1,1,牡,6,449.0,山野勝也,30821,佐藤健二,10321,1:34.0,４,40.8,6-6-8-8,5.0
2009-03-29,2009032921140101,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140101:4,2003109352,ラブファミリー,8,4,4,牡,6,432.0,藤江渉,30990,津久井巌,10337,1:34.3,１ 1/2,41.6,7-7-5-7,8.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:3,2002104309,ハッピーミール,1,3,3,牝,7,495.0,藤江渉,30990,佐々木吉郷,10320,1:31.6,-,40.8,3-2-2-1,2.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:6,2001100946,コブシヲニギレ,2,6,6,牡,8,463.0,的場文男,30133,高月賢一,11223,1:31.8,１,40.1,6-6-6-5,3.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:9,2002103980,ミカヅキハヤテ,3,8,9,牡,7,483.0,坂井英光,30844,佐々木仁,11176,1:32.3,２ 1/2,41.3,2-3-3-3,1.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:10,2003109308,オウシュウレッド,4,8,10,牝,6,443.0,佐藤博紀,30960,安池成実,11102,1:32.3,クビ,41.6,1-1-1-2,6.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:2,2004109306,オートチェリー,5,2,2,牝,5,423.0,金子正彦,30180,鳥飼春弥,10340,1:32.7,２,41.3,5-4-4-4,4.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:7,2004102503,オープンテレマーク,6,7,7,牡,5,431.0,山野勝也,30821,村田六郎,10356,1:32.8,クビ,40.7,7-7-7-7,10.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:1,2003103064,リリーラヴ,7,1,1,牝,6,432.0,山林堂信彦,30910,福島幸三郎,10349,1:33.0,１,40.3,8-8-9-8,8.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:8,2002101516,スタークルーズ,8,7,8,牡,7,476.0,増田充宏,31089,梅山和則,10944,1:33.0,ハナ,41.5,4-5-5-6,5.0
2009-03-29,2009032921140102,川崎,1400,晴,良,Ｃ３(四)(五),2009032921140102:4,2004104305,チャイナーヨンヨン,9,4,4,牝,5,374.0,岩城方元,30177,山田正実,10362,1:33.3,１ 1/2,40.8,9-10-8-9,9.0
