date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:5,2008105420,エングン,1,5,5,牡,3,479.0,真島大輔,31053,佐々木仁,11176,1:32.5,-,40.3,2-1-1-1,3.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:10,2008103409,キャットウーマン,2,8,10,牝,3,458.0,御神本訓史,30983,岩本洋,10307,1:32.8,１ 1/2,40.5,3-4-2-2,1.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:4,2008106316,ブラックエレメント,3,4,4,牡,3,454.0,山田信大,30721,高月賢一,11223,1:32.9,クビ,40.3,6-5-4-3,4.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:3,2008101500,アンビエント,4,3,3,牝,3,439.0,拜原靖之,31054,久保秀男,11259,1:33.6,３,40.7,4-3-5-4,2.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:2,2008102031,ワタリフジノオー,5,2,2,牡,3,435.0,的場文男,30133,佐々木仁,11176,1:34.4,４,41.1,5-6-10-6,5.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:9,2008100823,ユミチャンスマイル,6,8,9,牝,3,375.0,金子正彦,30180,秋山重美,10297,1:34.5,3/4,41.2,10-8-9-7,10.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:6,2008104472,アンフォーラ,7,6,6,牝,3,401.0,町田直希,31140,秋山重美,10297,1:35.0,２ 1/2,42.1,8-7-6-8,8.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:8,2008105179,サウスレディー,8,7,8,牝,3,428.0,増田充宏,31089,福島幸三郎,10349,1:35.9,４,43.6,1-2-3-5,7.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:1,2008105314,トーセンアクア,9,1,1,牝,3,415.0,佐藤博紀,30960,久保勇,11354,1:36.8,４,43.5,9-10-8-9,6.0
2011-04-12,2011041221010101,川崎,1400,晴,良,３歳(八)(ロ),2011041221010101:7,2008100080,ブルーフラワー,10,7,7,牝,3,446.0,酒井忍,30706,村田六郎,10356,1:36.9,1/2,43.6,7-9-7-10,9.0
2011-04-12,2011041221010102,川崎,1400,晴,良,３歳(七)(イ),2011041221010102:1,2008105395,アステカ,1,1,1,牡,3,481.0,酒井忍,30706,八木仁,10357,1:31.0,-,39.1,1-1-1-1,3.0
