date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:12,2009104025,ロプノール,1,8,12,牝,3,470.0,戸崎圭太,30943,佐藤壽,11030,1:15.6,-,38.5,1-1,1.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:1,2009101960,ナイキスパークル,2,1,1,牡,3,503.0,真島大輔,31053,蛯名雄太,11363,1:17.3,８,39.8,3-3,3.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:5,2009106528,デアユニバース,3,4,5,牝,3,432.0,達城龍次,30878,三坂盛雄,10233,1:17.5,１,40.2,2-2,2.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:9,2009104329,ナットスカーレット,4,6,9,牝,3,470.0,東原悠善,31082,柏木一夫,10189,1:17.7,１,40.2,3-4,6.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:3,2009109277,セユウレディ,5,3,3,牝,3,484.0,柏木健宏,31022,香取和孝,10986,1:18.3,３,39.9,11-9,7.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:6,2009103770,オウゴンジェット,6,5,6,牡,3,440.0,小林拓未,31157,杉山康史,11231,1:18.5,１ 1/4,40.1,10-7,5.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:8,2009101038,デザートマナード,7,6,8,牡,3,526.0,小杉亮,31187,高橋三郎,11100,1:18.7,１,40.8,5-5,9.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:7,2009109163,ホクソウレオン,8,5,7,牡,3,431.0,石崎駿,31050,杉山康史,11231,1:18.8,1/2,40.7,7-7,4.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:11,2009104416,スキャターザブルー,9,7,11,牡,3,465.0,高野毅,31122,佐々木忠昭,11023,1:19.1,１ 1/2,41.2,6-6,10.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:4,2009101646,フレンドヒーロー,10,4,4,牡,3,441.0,赤嶺亮,31148,赤嶺本浩,10941,1:20.0,４,41.5,12-10,12.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:10,2009104355,ラストインパルス,11,7,10,牝,3,493.0,安藤洋一,31197,嶋田幸晴,11300,1:21.2,６,42.8,8-10,8.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:13,2009106927,マリノミラクル,12,8,13,牡,3,497.0,濱田達也,31170,櫻木英喜,11326,1:21.3,クビ,42.4,13-13,11.0
2012-09-30,2012093020110101,大井,1200,曇,稍重,３歳,2012093020110101:2,2009109001,コイノキラメキ,13,2,2,牝,3,417.0,中村尚平,31198,渡部則夫,11084,1:21.6,１ 1/2,43.2,8-10,13.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:2,2009101858,ファルコワン,1,2,2,牡,3,475.0,早田功駿,31171,中村護,10904,1:41.0,-,41.7,1-1-1-1,4.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:10,2009105557,アイフェスタ,2,7,10,牝,3,515.0,真島大輔,31053,納谷和玖,11346,1:41.2,１ 1/4,41.9,7-8-4-3,3.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:8,2009102040,グランモナーク,3,6,8,牡,3,502.0,戸崎圭太,30943,渡邉和雄,11329,1:41.2,クビ,41.9,2-2-2-2,1.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:11,2009102317,ヴァンパイア,4,8,11,牡,3,482.0,坂井英光,30844,栗田裕光,10197,1:41.5,１ 1/2,41.6,11-11-5-5,2.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:5,2009106439,フラワーラブ,5,5,5,牡,3,472.0,町田直希,31140,三坂盛雄,10233,1:41.7,3/4,42.4,5-4-3-3,7.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:7,2009103985,ホクトイングランド,6,6,7,牝,3,393.0,達城龍次,30878,岡野尚光,11351,1:41.9,１,41.2,7-7-9-9,6.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:12,2009104405,ウィナーズアムボス,7,8,12,牝,3,460.0,安藤洋一,31197,橋本和馬,11327,1:42.2,１ 1/2,41.8,9-10-7-6,8.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:3,2009100639,アイファーピークス,8,3,3,牝,3,452.0,杉村一樹,30889,久保與造,10192,1:42.8,３,42.0,9-9-11-11,12.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:4,2009102740,タケノコジーン,9,4,4,牡,3,490.0,佐藤博紀,30960,辻野豊,10220,1:43.0,１,42.3,12-12-8-8,5.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:6,2009105085,ナスターシャム,10,5,6,牝,3,417.0,☆横川怜央,31203,須田和伸,11352,1:43.3,１ 1/2,42.9,3-3-6-6,11.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:1,2009105281,ブレイヴライフ,11,1,1,牡,3,431.0,左海誠二,30779,澤佳宏,11304,1:44.4,５,43.7,4-5-10-10,9.0
2012-09-30,2012093020110102,大井,1500,雨,稍重,３歳,2012093020110102:9,2009103221,メジャーウイッシュ,12,7,9,牡,3,486.0,赤嶺亮,31148,渡部則夫,11084,1:46.4,10,45.7,6-6-12-12,10.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:10,2008102134,マドモアゼルタッチ,1,6,10,牝,4,486.0,御神本訓史,30983,三坂盛雄,10233,1:31.0,-,39.4,3-3-3,1.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:6,2008101735,チャンピオンロビン,2,4,6,牡,4,442.0,赤嶺亮,31148,赤嶺本浩,10941,1:31.4,２,39.8,2-2-1,2.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:13,2008101318,リバイバルボス,3,8,13,牡,4,495.0,坂井英光,30844,加藤誠一,11381,1:31.7,１ 1/2,39.9,9-7-7,9.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:1,2008100230,ロッキンザゾーン,4,1,1,牝,4,405.0,▲山本聡紀,31220,阪本泰之,10202,1:32.4,３ 1/2,40.6,4-5-5,13.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:4,2006104677,タガノライアン,5,3,4,牡,6,494.0,繁田健一,30958,栗田知治,11230,1:32.5,1/2,40.4,14-11-9,11.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:8,2008104104,ケイアイアトゥム,6,5,8,牡,4,465.0,柏木健宏,31022,宮本康,11099,1:32.5,クビ,40.7,5-5-5,6.0
2012-09-30,2012093020110103,大井,1400,雨,稍重,Ｃ３(九),2012093020110103:3,2006103850,スカイタイガー,7,3,3,牡,6,450.0,早田秀治,30127,柏木一夫,10189,1:32.7,3/4,41.1,1-1-1,5.0
