date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:10,2021104098,パーパスポイント,1,8,10,セ,3,490.0,秋元耕成,30982,入口由美子,11487,1:32.9,-,41.1,6-4-1-1,2.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:8,2021104759,サーブルクーリエ,2,7,8,セ,3,416.0,福原杏,31281,繁田健一,11479,1:33.6,３,41.4,4-6-4-2,3.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:4,2021102878,オクテット,3,4,4,牝,3,448.0,西啓太,31241,小澤宏次,11398,1:33.9,１ 1/2,41.7,5-5-6-3,5.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:1,2021102081,ブレインストーム,4,1,1,牡,3,496.0,★中島良美,31290,長谷川忍,11408,1:34.3,２,42.7,1-2-2-4,4.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:5,2021103562,ギサール,5,5,5,牝,3,394.0,七夕裕次郎,31301,酒井一則,11228,1:34.6,１ 1/2,41.9,7-7-7-6,7.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:9,2021101589,ファリナータ,6,8,9,牝,3,433.0,△室陽一朗,31317,鈴木勝文,10147,1:35.1,２ 1/2,41.8,9-8-9-7,8.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:7,2021107143,キャラメルタルト,7,7,7,牝,3,522.0,△及川烈,31316,入口由美子,11487,1:36.1,５,44.1,3-3-5-5,6.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:2,2021106143,チョウノリノリ,8,2,2,牝,3,411.0,見越彬央,31229,川村守男,10943,1:36.1,アタマ,42.8,8-9-8-8,9.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:3,2021100582,サードパーティ,9,3,3,牝,3,422.0,森泰斗,30942,小久保智,11296,1:42.3,大差,50.7,1-1-3-9,1.0
2024-03-29,2024032918130501,浦和,1400,雨,不良,３歳(八),2024032918130501:6,2021106239,ライオンズマーチ,-,6,6,牝,3,,橋本直哉,30974,平山真希,11375,-,出走取消,,-,
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:12,2020101682,アムレート,1,8,12,牝,4,415.0,和田譲治,31074,小久保智,11296,1:30.4,-,39.2,2-2-2-1,3.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:8,2020103949,シャコンヌ,2,6,8,セ,4,460.0,福原杏,31281,宇野木博徳,11399,1:31.2,４,40.0,1-1-1-2,6.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:2,2019103648,アラビアンパレス,3,2,2,牡,5,478.0,石崎駿,31050,岡林光浩,10053,1:31.6,２,39.9,6-4-4-3,4.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:4,2020105893,スイートレーヴ,4,4,4,牝,4,480.0,七夕裕次郎,31301,箕輪武,11136,1:31.6,ハナ,39.7,4-5-6-5,8.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:11,2018106646,ホシプリンセス,5,8,11,牝,6,509.0,藤本現暉,31253,酒井一則,11228,1:31.7,クビ,39.8,7-7-5-6,7.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:6,2017104967,フェルカド,6,5,6,セ,7,471.0,澤田龍哉,31179,野口孝,10160,1:31.7,ハナ,40.3,3-3-3-4,2.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:3,2017101498,ドローアプローズ,7,3,3,セ,7,473.0,△及川烈,31316,横山保,10166,1:32.7,５,40.5,5-6-8-9,1.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:5,2020107056,スマイルドロップ,8,5,5,牝,4,446.0,臼井健太郎,31251,岩崎真樹,11488,1:32.7,クビ,40.5,8-8-7-8,11.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:1,2020105155,シェナリオン,9,1,1,牡,4,450.0,★中島良美,31290,冨田敏男,11376,1:32.8,1/2,40.4,10-9-9-7,10.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:10,2019103118,セイダンシング,10,7,10,牡,5,481.0,高橋利幸,31111,玉井昇,11277,1:33.1,１ 1/2,40.2,11-12-12-11,5.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:9,2017102454,ワンダーダイカネン,11,7,9,牡,7,492.0,橋本直哉,30974,鈴木勝文,10147,1:33.3,１ 1/2,40.6,12-11-10-10,9.0
2024-03-29,2024032918130502,浦和,1400,雨,不良,ランチタイムチャレンジ Ｃ２(十二)(十三),2024032918130502:7,2020101654,シールドメイデン,12,6,7,牝,4,465.0,藤江渉,30990,酒井一則,11228,1:35.8,大差,43.3,9-10-11-12,12.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:8,2020106350,ツーエムフリーク,1,8,8,牝,4,509.0,山中悠希,31219,小澤宏次,11398,1:29.6,-,39.2,1-1-1-1,1.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:3,2020102622,メイショウベニバナ,2,3,3,牝,4,447.0,矢野貴之,31068,長谷川忍,11408,1:31.7,大差,41.1,2-2-2-2,2.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:1,2020101637,ナリタアンビション,3,1,1,牝,4,399.0,△及川烈,31316,岡田一男,10130,1:32.4,３,39.4,8-7-5-4,7.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:2,2020106089,ヤマノムスメ,4,2,2,牝,4,501.0,加藤和博,30815,薮口一麻,11297,1:33.6,６,42.4,4-4-3-3,5.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:7,2020105960,マックスブンブン,5,7,7,牡,4,439.0,秋元耕成,30982,小林真治,11233,1:34.1,２ 1/2,40.9,6-6-7-5,6.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:6,2020104803,ロックン,6,6,6,セ,4,475.0,吉留孝司,30632,野口寛仁,11457,1:35.3,６,42.1,5-5-6-6,3.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:5,2020101696,ビナダナン,7,5,5,牝,4,460.0,橋本直哉,30974,酒井一則,11228,1:35.3,アタマ,41.7,7-8-8-8,8.0
2024-03-29,2024032918130503,浦和,1400,雨,不良,Ｃ３ ４歳エ,2024032918130503:4,2020105019,ミトノクリール,8,4,4,牝,4,436.0,藤江渉,30990,酒井一則,11228,1:37.3,大差,45.9,3-3-4-7,4.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:6,2018106007,スプリングローズ,1,5,6,牝,6,437.0,山中悠希,31219,小久保智,11296,48.5,-,36.5,1-1,3.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:7,2020101118,アイアムカチマショ,2,6,7,牝,4,457.0,加藤和博,30815,川島豊,11324,48.6,クビ,36.3,4-2,1.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:12,2020102167,サノノタルマエ,3,8,12,牝,4,450.0,達城龍次,30878,川島豊,11324,48.7,1/2,36.0,5-5,2.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:9,2020101171,ビスケット,4,7,9,牝,4,459.0,和田譲治,31074,野口寛仁,11457,48.8,クビ,36.7,3-3,5.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:1,2020100596,モーニングヒマワリ,5,1,1,牝,4,503.0,赤津和希,31266,箕輪武,11136,48.8,クビ,36.2,5-4,10.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:3,2020106604,ニシノニューリーフ,6,3,3,牝,4,497.0,吉留孝司,30632,冨田敏男,11376,49.6,４,37.0,7-7,4.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:2,2018102603,フリブール,7,2,2,牝,6,455.0,福原杏,31281,内野健二,10127,49.7,1/2,36.4,11-9,8.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:4,2017105265,パンディーロ,8,4,4,セ,7,533.0,半澤慶実,31109,宇野木博徳,11399,49.7,ハナ,37.1,8-8,9.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:5,2020106853,パサージュ,9,5,5,牝,4,411.0,★中島良美,31290,川島豊,11324,49.9,１,37.0,10-10,11.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:8,2019106245,アカルイスモウブ,10,6,8,牝,5,428.0,岡田大,30887,冨田敏男,11376,50.1,１,38.1,2-6,6.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:11,2018100278,クラフェニックス,11,8,11,牝,6,478.0,秋元耕成,30982,藤原智行,11409,50.2,クビ,37.6,9-11,7.0
2024-03-29,2024032918130504,浦和,800,曇,不良,浦和８００ラウンド Ｃ２ 選抜馬イ,2024032918130504:10,2020103080,リトルジーニー,12,7,10,牝,4,416.0,△室陽一朗,31317,酒井一則,11228,50.9,３,37.8,12-12,12.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:2,2021106660,アンジュミストラル,1,2,2,牝,3,459.0,野畑凌,31323,小久保智,11296,1:30.0,-,39.3,1-1-1-1,1.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:10,2021101331,ポップコーン,2,8,10,牡,3,454.0,吉留孝司,30632,平山真希,11375,1:31.7,８,40.8,3-3-2-2,5.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:5,2021102582,ワイルドウォリアー,3,5,5,牡,3,509.0,矢野貴之,31068,小澤宏次,11398,1:32.9,６,41.2,4-4-4-3,3.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:1,2021102446,ラストパラダイス,4,1,1,セ,3,468.0,澤田龍哉,31179,野口孝,10160,1:33.3,２,40.4,7-7-7-6,6.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:11,2021101314,スノーワルツ,5,8,11,牝,3,453.0,高橋哲也,30973,酒井一則,11228,1:33.5,１,41.7,5-5-5-4,8.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:9,2021100343,アルリスカ,6,7,9,セ,3,457.0,森泰斗,30942,水野貴史,11400,1:33.8,１ 1/2,41.7,6-6-6-7,2.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:4,2021100806,ラララランランラン,7,4,4,牝,3,413.0,△室陽一朗,31317,宇野木博徳,11399,1:34.0,１,40.7,8-8-8-8,9.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:6,2021102659,ビキャク,8,6,6,牝,3,463.0,和田譲治,31074,宇野木博徳,11399,1:34.0,ハナ,43.2,2-2-3-5,4.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:8,2021103743,パッソアパッソ,9,7,8,牝,3,418.0,★中島良美,31290,藤原智行,11409,1:35.8,９,41.7,10-9-9-9,10.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:7,2021104367,リュウノカティーフ,10,6,7,牝,3,425.0,見越彬央,31229,野口寛仁,11457,1:37.3,７,42.4,9-11-11-10,7.0
2024-03-29,2024032918130505,浦和,1400,晴,不良,３歳(七),2024032918130505:3,2021100285,リュウノツライフ,11,3,3,牡,3,452.0,加藤和博,30815,野口孝,10160,1:38.0,３,43.7,11-10-10-11,11.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:1,2021100852,マドモアゼルジョリ,1,1,1,牝,3,401.0,山中悠希,31219,渋谷信博,11288,1:32.2,-,38.9,1-1-1-1,2.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:3,2021106032,ロトカグラ,2,3,3,牡,3,475.0,高橋哲也,30973,水野貴史,11400,1:33.2,５,39.8,2-2-2-2,1.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:4,2021100358,ユーフラジー,3,4,4,牝,3,400.0,臼井健太郎,31251,伊藤滋規,11374,1:33.9,３,40.2,3-3-3-3,6.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:2,2021101883,クリウエーブ,4,2,2,牡,3,433.0,△及川烈,31316,吉田正美,10965,1:34.6,３,40.2,4-5-5-4,3.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:7,2021101342,ラタヴィック,5,7,7,セ,3,424.0,野畑凌,31323,伊藤滋規,11374,1:34.7,1/2,40.6,5-4-4-5,4.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:6,2021101951,シェナウルフ,6,6,6,牡,3,451.0,國分祐仁,31167,冨田敏男,11376,1:35.0,１ 1/2,40.6,6-6-6-6,7.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:5,2021100312,タカイチラブリー,7,5,5,牝,3,441.0,吉留孝司,30632,薮口一麻,11297,1:37.5,大差,42.3,7-7-7-7,5.0
2024-03-29,2024032918130506,浦和,1400,晴,不良,３歳(六),2024032918130506:8,2021106457,ハートフルダイヤ,-,8,8,牝,3,,七夕裕次郎,31301,海馬澤司,10905,-,出走取消,,-,
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:4,2017104341,ビービーファブル,1,4,4,牡,7,467.0,森泰斗,30942,新井清重,11272,1:32.4,-,39.7,10-12-8-6,4.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:11,2017106040,ラーズグリーズ,2,8,11,セ,7,461.0,△室陽一朗,31317,工藤伸輔,11312,1:32.6,１,40.5,11-10-3-1,10.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:9,2017105428,フォガラ,3,7,9,牝,7,453.0,和田譲治,31074,小久保智,11296,1:32.6,クビ,40.7,3-3-2-1,2.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:6,2019102067,ラインストライカー,4,5,6,セ,5,484.0,山崎誠士,31113,小澤宏次,11398,1:32.7,3/4,40.5,5-4-6-4,1.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:3,2018104083,エコロジーガール,5,3,3,牝,6,464.0,臼井健太郎,31251,伊藤滋規,11374,1:32.8,1/2,40.2,9-11-12-8,12.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:10,2017100732,ヤギリエピファクン,6,7,10,セ,7,477.0,石崎駿,31050,張田京,11424,1:32.8,アタマ,40.6,12-9-5-5,3.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:8,2018100809,アラベスクパンシェ,7,6,8,牝,6,482.0,野澤憲彦,30800,佐々木清明,11174,1:32.8,アタマ,41.0,1-1-1-1,6.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:1,2019100508,ラクスシャルキ,8,1,1,牝,5,453.0,秋元耕成,30982,酒井一則,11228,1:33.0,１,40.6,6-6-9-7,11.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:2,2017106274,フェイドハード,9,2,2,牡,7,528.0,加藤和博,30815,長谷川忍,11408,1:33.7,３,41.1,7-7-10-9,5.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:7,2019103345,ゲットデザイアー,10,6,7,牝,5,450.0,見越彬央,31229,箕輪武,11136,1:35.1,７,43.2,2-2-4-10,9.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:12,2016109109,サダムシオイノモリ,11,8,12,牡,8,506.0,岡村裕基,30636,久保勇,11354,1:35.2,クビ,43.0,4-5-7-11,7.0
2024-03-29,2024032918130507,浦和,1400,晴,不良,特選 Ｃ３(一)(二),2024032918130507:5,2019105883,コロディア,12,5,5,牝,5,478.0,岡田大,30887,鹿沼良和,11161,1:35.2,クビ,42.6,8-8-11-12,8.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:4,2019101924,セキテイジュウオー,1,4,4,セ,5,470.0,▲所蛍,31329,張田京,11424,1:37.2,-,38.9,1-1-1-1,4.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:5,2019101414,ビートルジュース,2,5,5,牝,5,445.0,西啓太,31241,小久保智,11296,1:39.3,大差,40.8,2-2-2-2,2.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:8,2018101749,カミヤガルーラ,3,6,8,牡,6,470.0,保園翔也,31260,内野健二,10127,1:39.8,２ 1/2,41.1,3-3-3-3,5.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:2,2020106053,バーニングウインド,4,2,2,牡,4,462.0,和田譲治,31074,齊藤敏,11055,1:41.2,７,42.1,4-4-4-4,6.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:9,2020100175,アンブレラダンス,5,7,9,牝,4,482.0,橋本直哉,30974,平山真希,11375,1:41.4,１,41.2,10-10-9-8,3.0
2024-03-29,2024032918130508,浦和,1500,晴,不良,Ｃ２(十二)(十三),2024032918130508:11,2020100411,ジャストザヴァルス,6,8,11,牝,4,427.0,★中島良美,31290,宇野木博徳,11399,1:41.6,１,41.8,9-9-8-7,1.0
