date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:11,2011104497,サーブルデエース,1,8,11,牝,5,445.0,笹川翼,31231,内田勝義,10308,1:32.2,-,40.5,1-1-1-1,2.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:3,2011103760,ビートザボーダー,2,3,3,牝,5,438.0,坂井英光,30844,田島寿一,11257,1:33.5,６,41.2,4-4-4-5,3.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:8,2012109107,スイートイデアル,3,7,8,牝,4,463.0,本橋孝太,31155,石井勝男,11313,1:33.5,ハナ,41.4,5-4-2-3,1.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:5,2011101305,ヴィクトリーキング,4,5,5,牡,5,461.0,山林堂信彦,30910,田島寿一,11257,1:33.6,クビ,41.0,7-7-6-7,6.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:1,2012105371,ブレッザバラーレ,5,1,1,牝,4,439.0,楢崎功祐,30997,山崎裕也,11414,1:33.8,１,41.7,3-3-4-4,9.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:10,2009105115,テッペントッタル,6,8,10,牡,7,477.0,△西啓太,31241,深野塁,11365,1:33.9,1/2,40.3,9-9-8-8,4.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:6,2011100683,エヴェレストバイオ,7,6,6,牝,5,430.0,藤江渉,30990,山崎尋美,11107,1:34.1,１ 1/2,42.2,2-2-2-2,8.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:2,2012102507,ディングル,8,2,2,牝,4,445.0,和田譲治,31074,鈴木義久,11382,1:34.5,２,42.0,6-6-6-6,7.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:9,2010104667,フジバーニング,9,7,9,牡,6,495.0,伊藤裕人,31191,岩本洋,10307,1:34.6,1/2,40.8,11-11-9-9,5.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:4,2012102174,スマートショール,10,4,4,牝,4,406.0,横川尚央,31221,宮下貴明,11098,1:36.7,大差,42.9,8-8-11-10,11.0
2016-03-29,2016032921140201,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140201:7,2012102721,ローズウィップ,11,6,7,牝,4,397.0,△塚本弘隆,31238,宮下貴明,11098,1:36.9,１ 1/2,43.1,9-10-10-11,10.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:8,2012100750,リバーウィン,1,7,8,牝,4,503.0,森泰斗,30942,栗林信文,11383,1:33.2,-,39.8,1-1-1-1,5.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:2,2012105175,ミヤビリヴェール,2,2,2,牝,4,450.0,増田充宏,31089,佐々木仁,11176,1:33.8,３,40.0,4-4-4-2,4.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:10,2012105290,メイショウケンザン,3,8,10,牡,4,461.0,山本聡紀,31220,伊藤滋規,11374,1:33.9,クビ,39.8,8-8-3-2,1.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:1,2011100741,トウカイレジェンド,4,1,1,牡,5,462.0,的場文男,30133,山田質,11388,1:34.6,３,40.4,7-5-8-7,3.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:3,2011102992,セイヤクン,5,3,3,牡,5,427.0,折笠豊和,31049,冨田敏男,11376,1:34.8,１,40.9,3-3-5-4,6.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:5,2012102870,マイネルヴィグール,6,5,5,牡,4,457.0,山中悠希,31219,宮下貴明,11098,1:36.0,６,41.9,5-6-7-8,8.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:4,2012104811,トゥッタフォルツァ,7,4,4,牝,4,437.0,坂井英光,30844,田島寿一,11257,1:36.1,1/2,42.5,2-2-2-4,2.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:9,2012103303,クリノチュウレンポ,8,8,9,牝,4,463.0,實川純一,31110,佐々木功,10073,1:36.3,3/4,42.2,5-6-5-6,7.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:6,2012104765,スパークルジョイ,9,6,6,牝,4,416.0,△塚本弘隆,31238,宮下貴明,11098,1:36.7,２,41.9,10-9-10-9,10.0
2016-03-29,2016032921140202,川崎,1400,晴,良,Ｃ３(八)(九),2016032921140202:7,2012100947,オーセンティック,10,7,7,牝,4,377.0,柿本量平,31210,宮下貴明,11098,1:37.4,３,42.5,9-10-9-10,9.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:3,2013100198,カガヤキスマイル,1,3,3,牡,3,467.0,森泰斗,30942,田邊陽一,11224,1:39.0,-,40.6,5-5-4-4,2.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:9,2013103306,キョウエイアリエス,2,8,9,牝,3,442.0,山崎誠士,31113,山崎尋美,11107,1:39.7,３,41.9,1-1-1-1,6.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:6,2013104394,ハイパワーソニック,3,6,6,牡,3,469.0,酒井忍,30706,松代眞,10920,1:39.8,1/2,40.9,9-8-9-6,8.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:5,2013105079,グリンブライド,4,5,5,牝,3,445.0,山本聡紀,31220,佐藤賢二,10985,1:40.1,１ 1/2,41.5,6-7-5-5,7.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:8,2013102573,ビービービージー,5,8,8,牡,3,469.0,藤江渉,30990,武井和実,11364,1:40.5,２,42.4,3-3-3-3,3.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:4,2013102980,ガラムマサラ,6,4,4,牝,3,498.0,杉村一樹,30889,池田孝,11225,1:41.3,４,43.3,2-2-2-2,5.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:7,2013104686,ピックミーアップ,7,7,7,牡,3,457.0,伊藤裕人,31191,林隆之,11355,1:42.1,４,43.2,8-9-8-8,4.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:1,2013105957,マージーサイド,8,1,1,牡,3,491.0,真島大輔,31053,佐藤裕太,11412,1:42.3,１,43.7,7-6-6-6,1.0
2016-03-29,2016032921140203,川崎,1500,晴,良,３歳(六)(ロ),2016032921140203:2,2013102200,サンニードルス,9,2,2,牝,3,478.0,林幻,31070,伊藤滋規,11374,1:43.1,４,44.7,4-4-6-9,9.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:1,2013105610,カリビアンスタッド,1,1,1,牡,3,506.0,本田正重,31147,出川克己,11021,1:39.5,-,41.9,3-5-3-2,1.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:9,2013105017,ナイスキック,2,8,9,牝,3,451.0,今野忠成,30833,池田孝,11225,1:39.6,1/2,41.8,9-9-6-4,3.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:8,2013100833,ポッドシモン,3,7,8,牝,3,454.0,矢野貴之,31068,八木正喜,11081,1:40.3,３,42.7,4-3-4-3,2.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:7,2013101608,ビジュパシアン,4,7,7,セ,3,415.0,笹川翼,31231,山崎尋美,11107,1:40.5,3/4,42.7,5-6-6-5,4.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:6,2013101020,ラディヴィナ,5,6,6,牝,3,500.0,伊藤裕人,31191,高月賢一,11223,1:40.5,アタマ,43.5,1-1-1-1,5.0
2016-03-29,2016032921140204,川崎,1500,晴,良,３歳(五)(イ),2016032921140204:3,2013106454,ユメキラリ,6,3,3,牝,3,445.0,郷間勇太,31163,武井和実,11364,1:40.6,1/2,42.5,10-8-9-9,9.0
