date,race_id,track,distance,weather,ground_condition,race_name,horse_id,horse_key,horse_name,rank,frame_no,gate_no,sex,age,weight,jockey_id,jockey_key,trainer_id,trainer_key,finish_time,margin,closing_time_3f,passing_order,popularity
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:9,2013103378,カミノメグリアイ,1,6,9,牝,2,524.0,達城龍次,30878,佐藤壽,11030,1:15.2,-,38.6,1-1,2.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:13,2013104458,カンガルーフィリー,2,8,13,牝,2,470.0,森泰斗,30942,堀江仁,11341,1:15.6,２,39.0,2-2,1.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:1,2013104043,グレイスマロン,3,1,1,牝,2,451.0,吉井竜一,30803,村上頼章,11101,1:16.0,２,38.9,7-5,4.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:2,2013101619,ノースジャーニー,4,2,2,牡,2,459.0,左海誠二,30779,林正人,11022,1:16.4,２,39.6,4-4,3.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:8,2013101621,アイムエンジェル,5,6,8,牝,2,449.0,今野忠成,30833,蛯名雄太,11363,1:16.8,２,40.1,3-3,5.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:6,2013104066,ポントゥーン,6,5,6,牡,2,476.0,上田健人,31189,村上頼章,11101,1:16.9,1/2,39.4,10-8,7.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:10,2013102991,マルヨマーラ,7,7,10,セ,2,428.0,▲藤本現暉,31253,赤嶺本浩,10941,1:18.0,５,40.6,8-9,6.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:12,2013101863,シャルマンリッシュ,8,8,12,牡,2,457.0,赤嶺亮,31148,赤嶺本浩,10941,1:18.0,アタマ,40.5,9-11,10.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:7,2013106346,ツルオカビリーブ,9,5,7,牝,2,435.0,石崎駿,31050,久保與造,10192,1:18.2,3/4,40.7,10-10,11.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:3,2013100247,マルヨウェーブ,10,3,3,牡,2,463.0,町田直希,31140,佐々木洋一,11209,1:18.6,２,41.6,5-7,13.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:11,2013200002,ダイヤビジュー,11,7,11,牝,2,449.0,柏木健宏,31022,久保與造,10192,1:19.5,４,42.5,6-6,8.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:4,2013106374,ライクアレディ,12,4,4,牝,2,455.0,高野毅,31122,中村護,10904,1:20.1,３,41.2,13-13,9.0
2015-09-29,2015092920110201,大井,1200,晴,重,２歳８０万 円以下,2015092920110201:5,2013101218,ブルーデスティニー,13,4,5,牡,2,472.0,小林拓未,31157,朝倉実,11202,1:20.8,３ 1/2,42.7,12-12,12.0
2015-09-29,2015092920110202,大井,1400,晴,重,２歳８０万 円以下,2015092920110202:3,2013105086,ドランケンブロール,1,3,3,牡,2,455.0,左海誠二,30779,林正人,11022,1:31.0,-,39.3,8-8-7,1.0
